stress_level,support_frequency,method,success,ci95,collision,risk_proxy,mode_escape,rows
0.00,0.500,energy_rerank_unguided,0.98438,0.03062,0.01562,0.01562,0.00000,64
0.00,0.500,energy_guided_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,strong_guided_diffusion,0.98438,0.03062,0.00000,0.01562,0.00000,64
0.00,0.500,support_projected_guidance,0.98438,0.03062,0.00000,0.01562,0.00000,64
0.00,0.500,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,graph_search_planner,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.00,0.500,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,energy_rerank_unguided,0.95312,0.04483,0.04688,0.04688,0.00000,64
0.20,0.400,energy_guided_diffusion,0.96875,0.04010,0.03125,0.03125,0.00000,64
0.20,0.400,strong_guided_diffusion,0.98438,0.03062,0.00000,0.01562,0.00000,64
0.20,0.400,support_projected_guidance,0.98438,0.03062,0.00000,0.01562,0.00000,64
0.20,0.400,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,graph_search_planner,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.20,0.400,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,energy_rerank_unguided,0.89062,0.08584,0.10938,0.10938,0.00000,64
0.40,0.300,energy_guided_diffusion,0.85938,0.09753,0.14062,0.14083,0.00000,64
0.40,0.300,strong_guided_diffusion,0.93750,0.04630,0.00000,0.06250,0.00000,64
0.40,0.300,support_projected_guidance,0.92188,0.10288,0.00000,0.07875,0.00000,64
0.40,0.300,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,graph_search_planner,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.40,0.300,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,energy_rerank_unguided,0.75000,0.08020,0.25000,0.25000,0.00000,64
0.60,0.200,energy_guided_diffusion,0.78125,0.10091,0.21875,0.21875,0.00000,64
0.60,0.200,strong_guided_diffusion,0.79688,0.07936,0.03125,0.20312,0.00000,64
0.60,0.200,support_projected_guidance,0.84375,0.08966,0.00000,0.15625,0.00000,64
0.60,0.200,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,graph_search_planner,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.60,0.200,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,energy_rerank_unguided,0.48438,0.19881,0.51562,0.51562,0.00000,64
0.80,0.100,energy_guided_diffusion,0.48438,0.19334,0.51562,0.51596,0.00000,64
0.80,0.100,strong_guided_diffusion,0.57812,0.07936,0.03125,0.42271,0.00000,64
0.80,0.100,support_projected_guidance,0.65625,0.13696,0.01562,0.34732,0.00000,64
0.80,0.100,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,graph_search_planner,1.00000,0.00000,0.00000,0.00000,0.00000,64
0.80,0.100,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00000,0.00000,64
1.00,0.000,energy_rerank_unguided,0.00000,0.00000,1.00000,1.00000,0.00000,64
1.00,0.000,energy_guided_diffusion,0.00000,0.00000,1.00000,1.00096,0.00000,64
1.00,0.000,strong_guided_diffusion,0.09375,0.06125,0.01562,0.91051,0.00000,64
1.00,0.000,support_projected_guidance,0.01562,0.03062,0.04688,0.98504,0.00000,64
1.00,0.000,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00325,1.00000,64
1.00,0.000,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00304,1.00000,64
1.00,0.000,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00288,1.00000,64
1.00,0.000,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00327,1.00000,64
1.00,0.000,graph_search_planner,1.00000,0.00000,0.00000,0.00325,1.00000,64
1.00,0.000,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00313,1.00000,64
1.20,0.000,energy_rerank_unguided,0.00000,0.00000,1.00000,1.00000,0.00000,64
1.20,0.000,energy_guided_diffusion,0.00000,0.00000,1.00000,1.00012,0.00000,64
1.20,0.000,strong_guided_diffusion,0.03125,0.04010,0.01562,0.97072,0.00000,64
1.20,0.000,support_projected_guidance,0.06250,0.04630,0.01562,0.94011,0.00000,64
1.20,0.000,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00324,1.00000,64
1.20,0.000,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00304,1.00000,64
1.20,0.000,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00289,1.00000,64
1.20,0.000,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00327,1.00000,64
1.20,0.000,graph_search_planner,1.00000,0.00000,0.00000,0.00325,1.00000,64
1.20,0.000,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00313,1.00000,64
1.40,0.000,energy_rerank_unguided,0.00000,0.00000,1.00000,1.00000,0.00000,64
1.40,0.000,energy_guided_diffusion,0.00000,0.00000,1.00000,1.00107,0.00000,64
1.40,0.000,strong_guided_diffusion,0.10938,0.05551,0.00000,0.89527,0.00000,64
1.40,0.000,support_projected_guidance,0.06250,0.08020,0.00000,0.94051,0.00000,64
1.40,0.000,mode_diverse_diffusion,1.00000,0.00000,0.00000,0.00323,1.00000,64
1.40,0.000,diffusion_cem_hybrid,1.00000,0.00000,0.00000,0.00303,1.00000,64
1.40,0.000,chomp_like_optimizer,1.00000,0.00000,0.00000,0.00288,1.00000,64
1.40,0.000,cem_trajectory_optimizer,1.00000,0.00000,0.00000,0.00324,1.00000,64
1.40,0.000,graph_search_planner,1.00000,0.00000,0.00000,0.00325,1.00000,64
1.40,0.000,support_aware_energy_bridge_v5,1.00000,0.00000,0.00000,0.00314,1.00000,64
