uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1523/jneurosci.5792-11.2012,Muscle Coordination Is Habitual Rather than Optimal,"When sharing load among multiple muscles, humans appear to select an optimal pattern of activation that minimizes costs such as the effort or variability of movement. How the nervous system achieves this behavior, however, is unknown. Here we show that contrary to predictions from optimal control theory, habitual muscle activation patterns are surprisingly robust to changes in limb biomechanics. We first developed a method to simulate joint forces in real time from electromyographic recordings of the wrist muscles. When the model was altered to simulate the effects of paralyzing a muscle, the subjects simply increased the recruitment of all muscles to accomplish the task, rather than recruiting only the useful muscles. When the model was altered to make the force output of one muscle unusually noisy, the subjects again persisted in recruiting all muscles rather than eliminating the noisy",2012,Journal of Neuroscience,Aymar de Rugy; Gerald E. Loeb; Timothy J. Carroll,10.1523/jneurosci.5792-11.2012,,https://doi.org/10.1523/jneurosci.5792-11.2012,openalex,energy based model robot learning,concept,ebm,,221,,2026-06-12T18:26:24Z,26.451,27.451
doi:10.48550/arxiv.2304.12824,Contrastive Energy Prediction for Exact Energy-Guided Diffusion Sampling in Offline Reinforcement Learning,"Guided sampling is a vital approach for applying diffusion models in real-world tasks that embeds human-defined guidance during the sampling procedure. This paper considers a general setting where the guidance is defined by an (unnormalized) energy function. The main challenge for this setting is that the intermediate guidance during the diffusion sampling procedure, which is jointly defined by the sampling distribution and the energy function, is unknown and is hard to estimate. To address this challenge, we propose an exact formulation of the intermediate guidance as well as a novel training objective named contrastive energy prediction (CEP) to learn the exact guidance. Our method is guaranteed to converge to the exact guidance under unlimited model capacity and data samples, while previous methods can not. We demonstrate the effectiveness of our method by applying it to offline reinf",2023,arXiv (Cornell University),Cheng Lu; Huayu Chen; Jianfei Chen; Hang Su; Chongxuan Li; Jun Zhu,10.48550/arxiv.2304.12824,,https://doi.org/10.48550/arxiv.2304.12824,openalex,energy based model robot learning,concept,ebm,,3,offline reinforcement learning; benchmark,2026-06-12T18:26:24Z,24.693,26.693
doi:10.2139/ssrn.6353339,Prompt-Guided Large Language Model for Estimating the State of Charge of Containerized Lithium-Ion Battery Energy Storage Systems,"To enhance long-term accuracy and generalization in state of charge (SOC) estimation for containerized lithium-ion battery energy storage systems, the prompt-driven large language model (LLM) paradigm fine-tuned with quantized low-rank adaptation (QLoRA) is proposed. Time-series voltage, current, and temperature profiles are first transcribed into naturallanguage question–answer pairs. A 1.5-billion-parameter DeepSeek model is then efficiently adapted via QLoRA without modifying its backbone, enabling lightweight deployment. The model is trained and validated on 82 days (118080 samples) of field data from an operational storage station. Under optimal hyperparameters, the proposed estimator achieves a root-meansquare error of only 1.15%, significantly outperforming existing benchmarks. Comprehensive robustness and stability evaluations demonstrate that the QLoRA-enhanced LLM maintains hig",,,Yunpeng Liu; zhiyu mao; Zhongwei Chen,10.2139/ssrn.6353339,,https://doi.org/10.2139/ssrn.6353339,crossref,large language model limitation robot planning,anti_myopia,anti_thesis,,,limitation; benchmark; generalization; robustness; deployment; large language model limitation robot planning,2026-06-12T15:07:36Z,17.250,26.250
doi:10.3389/frobt.2026.1851102,DPTG: diffusion policy with tactile feasibility guidance,"Robotic manipulation in contact-rich environments requires integrating vision and tactile sensing, yet effective fusion of these modalities remains challenging. Existing methods often adopt symmetric feature fusion or joint policy learning, implicitly treating tactile as a continuous motion generator comparable to vision. However, this misaligns with the nature of touch, which primarily provides physical constraints and phase cues rather than action proposals. In this work, we propose DPTG, a framework that reformulates tactile sensing as a physical feasibility constraint rather than a parallel action generator. Actions are sampled from a vision-driven diffusion policy and guided by a tactile feasibility classifier. To extract phase-relevant cues, we derive an adaptive guidance schedule from feasibility scores, selectively activating constraints only when contact is informative. Moreover",2026,Frontiers in Robotics and AI,Jin Liu; Hongzhan Yu; Can Zhao; Haonan Zhao; Zhemeng Zhang; Daolin Ma; Weiming Wang,10.3389/frobt.2026.1851102,,https://doi.org/10.3389/frobt.2026.1851102,crossref,diffusion policy robot manipulation,concept,diffusion,,,diffusion policy; robot manipulation,2026-06-12T14:45:03Z,26.050,26.050
arxiv:2606.08743v1,Guided Discovery of New Behaviors using Diffusion Policies,"Diffusion models have become a powerful tool for generative modeling in robotics, with diffusion policies excelling at modeling multimodal action-trajectory distributions. However, when demonstrations are limited, standard sampling often reproduces dominant behaviors while neglecting valid but rare modes, limiting the discovery of novel solutions. Existing approaches, such as guidance methods or combining reinforcement learning with diffusion, either push samples into infeasible regions or struggle to escape local minima, failing to systematically uncover diverse behaviors. To address these challenges, we propose a framework that combines Feynman-Kac correctors with a novel guiding potential that systematically guides diffusion policy samples towards promising yet underrepresented samples. These trajectories are refined using sampling-based trajectory optimization and reincorporated into",2026,arXiv,Dian Yu; Sebastian Sanokowski; Majid Khadiv,,2606.08743v1,http://arxiv.org/abs/2606.08743v1,arxiv,diffusion policy limitation,anti_myopia,anti_thesis,,,diffusion policy; limitation; diffusion policy limitation,2026-06-12T15:07:36Z,21.800,25.800
title:progressvla progress guided diffusion policy for vision language robotic manipulation,ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,"Most existing vision-language-action (VLA) models for robotic manipulation lack progress awareness, typically relying on hand-crafted heuristics for task termination. This limitation is particularly severe in long-horizon tasks involving cascaded sub-goals. In this work, we investigate the estimation and integration of task progress, proposing a novel model named {\textbf \vla}. Our technical contributions are twofold: (1) \emph{robust progress estimation}: We pre-train a progress estimator on large-scale, unsupervised video-text robotic datasets. This estimator achieves a low prediction residual (0.07 on a scale of $[0, 1]$) in simulation and demonstrates zero-shot generalization to unseen real-world samples, and (2) \emph{differentiable progress guidance}: We introduce an inverse dynamics world model that maps predicted action tokens into future latent visual states. These latents are ",2026,arXiv (Cornell University),Hongyu Yan; Qiwei Li; Jiaolong Yang; Yadong Mu,,,https://openalex.org/W7148177967,openalex,energy based transformer robot policy,concept,ebm_transformer,,,energy based transformer robot policy; diffusion policy; limitation; benchmark; generalization; deployment; long horizon,2026-06-12T18:05:07Z,20.350,25.350
doi:10.1115/dscc2013-3947,Simple Clothoid Paths for Autonomous Vehicle Lane Changes at the Limits of Handling,"This paper demonstrates that an autonomous vehicle can perform emergency lane changes up to the limits of handling through real-time generation and evaluation of bi-elementary paths. Path curvature and friction limits determine the maximum possible speed along the path and, consequently, the feasibility of the path. This approach incorporates both steering inputs and changes in speed during the maneuver. As a result, varying path parameters and observing the maximum possible entry speed of resulting paths gives insight about when and to what extent a vehicle should brake and turn during emergency lane change maneuvers. Tests on an autonomous vehicle validate this approach for lane changes at the limits of handling.",2013,"Volume 3: Nonlinear Estimation and Control; Optimization and Optimal Control; Piezoelectric Actuation and Nanoscale Control; Robotics and Manipulators; Sensing; System Identification (Estimation for Automotive Applications, Modeling, Therapeutic Control in Bio-Systems); Variable Structure/Sliding-Mode Control; Vehicles and Human Robotics; Vehicle Dynamics and Control; Vehicle Path Planning and Collision Avoidance; Vibrational and Mechanical Systems; Wind Energy Systems and Control",Joseph Funke; J. Christian Gerdes,10.1115/dscc2013-3947,,https://doi.org/10.1115/dscc2013-3947,crossref,classical control robotics,anti_myopia,anti_thesis,,14,classical control robotics,2026-06-12T15:07:36Z,18.604,24.604
doi:10.1111/1365-2745.13451/v1/review1,"Review for ""Competition and demography rather than dispersal limitation slow down upward shifts of trees’ upper elevation limits in the Alps""",,2020,,,10.1111/1365-2745.13451/v1/review1,,https://doi.org/10.1111/1365-2745.13451/v1/review1,crossref,diffusion policy limitation,anti_myopia,anti_thesis,,,diffusion policy; limitation; diffusion policy limitation,2026-06-12T15:07:36Z,20.200,24.200
arxiv:2407.08065v1,Towards Interpretable Foundation Models of Robot Behavior: A Task Specific Policy Generation Approach,"Foundation models are a promising path toward general-purpose and user-friendly robots. The prevalent approach involves training a generalist policy that, like a reinforcement learning policy, uses observations to output actions. Although this approach has seen much success, several concerns arise when considering deployment and end-user interaction with these systems. In particular, the lack of modularity between tasks means that when model weights are updated (e.g., when a user provides feedback), the behavior in other, unrelated tasks may be affected. This can negatively impact the system's interpretability and usability. We present an alternative approach to the design of robot foundation models, Diffusion for Policy Parameters (DPP), which generates stand-alone, task-specific policies. Since these policies are detached from the foundation model, they are updated only when a user wan",2024,arXiv,Isaac Sheidlower; Reuben Aronson; Elaine Schaertl Short,,2407.08065v1,http://arxiv.org/abs/2407.08065v1,arxiv,robot foundation model failure mode,hostile,failure,,,robot foundation model; failure mode; limitation; deployment,2026-06-12T14:45:03Z,17.000,24.000
arxiv:2410.15959v6,Diffusion Transformer Policy,"Recent large vision-language-action models pretrained on diverse robot datasets have demonstrated the potential for generalizing to new environments with a few in-domain data. However, those approaches usually predict individual discretized or continuous action by a small action head, which limits the ability in handling diverse action spaces. In contrast, we model the continuous action sequence with a large multi-modal diffusion transformer, dubbed as Diffusion Transformer Policy, in which we directly denoise action chunks by a large transformer model rather than a small action head for action embedding. By leveraging the scaling capability of transformers, the proposed approach can effectively model continuous end-effector actions across large diverse robot datasets, and achieve better generalization performance. Extensive experiments demonstrate the effectiveness and generalization of",2024,arXiv,Zhi Hou; Tianyi Zhang; Yuwen Xiong; Hengjun Pu; Chengyang Zhao; Ronglei Tong; Yu Qiao; Jifeng Dai; Yuntao Chen,,2410.15959v6,http://arxiv.org/abs/2410.15959v6,arxiv,diffusion policy limitation,anti_myopia,anti_thesis,,,vision language action model; diffusion policy; limitation; benchmark; generalization; diffusion policy limitation,2026-06-12T15:07:36Z,16.600,23.600
