split,seed,task_id,target_mode,target_support_frequency,demo_mode_counts,obstacles,description
supported_single_mode,0,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,0,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,0,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,0,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,0,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,0,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,0,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,1,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,1,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,2,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,2,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,3,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,3,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,4,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,4,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,5,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,5,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,6,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,6,11,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,0,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,1,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,2,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,3,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,4,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,5,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,6,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,7,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,8,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,9,lower,1.0000,lower:48,1,supported mode
supported_single_mode,7,10,upper,1.0000,upper:48,1,supported mode
supported_single_mode,7,11,lower,1.0000,lower:48,1,supported mode
supported_multimodal_shift,0,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,1,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,2,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,3,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,4,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,5,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,7,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,8,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,9,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,10,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,0,11,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,1,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,2,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,3,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,4,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,5,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,6,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,7,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,8,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,9,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,10,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,1,11,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,1,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,2,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,3,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,4,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,5,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,6,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,7,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,8,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,9,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,10,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,2,11,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,1,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,2,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,3,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,4,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,5,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,7,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,8,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,9,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,10,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,3,11,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,1,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,2,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,3,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,4,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,5,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,7,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,8,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,9,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,10,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,4,11,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,0,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,1,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,2,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,3,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,4,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,5,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,7,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,8,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,9,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,10,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,5,11,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,0,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,1,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,2,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,3,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,4,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,5,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,7,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,8,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,9,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,10,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,6,11,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,0,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,1,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,2,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,3,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,4,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,5,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,6,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,7,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,8,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,9,lower,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,10,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
supported_multimodal_shift,7,11,upper,0.5000,lower:24;upper:24,1,supported multimodal geometry shift
rare_mode_recovery,0,0,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,1,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,2,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,3,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,4,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,5,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,6,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,7,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,8,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,9,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,10,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,0,11,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,0,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,1,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,2,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,3,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,4,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,5,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,6,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,7,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,8,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,9,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,10,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,1,11,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,0,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,1,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,2,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,3,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,4,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,5,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,6,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,7,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,8,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,9,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,10,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,2,11,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,3,0,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,3,1,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,3,2,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
rare_mode_recovery,3,3,upper,0.0417,lower:46;upper:2,2,rare safe upper mode with common lower mode blocked
