split,method,seed,tasks,success,collision,dynamic_violation,mean_energy,support_distance,risk_proxy,mode_escape
aggregate_hard_regime,behavior_clone_nearest,0,36,0.66667,0.33333,0.00000,2.39270,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,1,36,0.66667,0.33333,0.00000,2.34346,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,2,36,0.66667,0.33333,0.00000,2.38945,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,3,36,0.66667,0.33333,0.00000,2.50317,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,4,36,0.66667,0.33333,0.00000,2.54764,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,5,36,0.66667,0.33333,0.00000,2.51882,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,6,36,0.66667,0.33333,0.00000,2.30628,0.00000,0.33333,0.33333
aggregate_hard_regime,behavior_clone_nearest,7,36,0.66667,0.33333,0.00000,2.46953,0.00000,0.33333,0.33333
aggregate_hard_regime,unguided_diffusion_prior,0,36,0.30556,0.69444,0.00000,4.55919,0.00469,0.69444,0.00000
aggregate_hard_regime,unguided_diffusion_prior,1,36,0.33333,0.66667,0.00000,4.54706,0.00473,0.66667,0.05556
aggregate_hard_regime,unguided_diffusion_prior,2,36,0.27778,0.72222,0.00000,4.65419,0.00473,0.72222,0.00000
aggregate_hard_regime,unguided_diffusion_prior,3,36,0.22222,0.77778,0.00000,5.07152,0.00455,0.77778,0.00000
aggregate_hard_regime,unguided_diffusion_prior,4,36,0.30555,0.69445,0.00000,4.68293,0.00469,0.69445,0.02778
aggregate_hard_regime,unguided_diffusion_prior,5,36,0.27778,0.72222,0.00000,4.73991,0.00473,0.72222,0.00000
aggregate_hard_regime,unguided_diffusion_prior,6,36,0.33333,0.66667,0.00000,4.33526,0.00469,0.66667,0.02778
aggregate_hard_regime,unguided_diffusion_prior,7,36,0.33333,0.66667,0.00000,4.41958,0.00456,0.66667,0.05556
aggregate_hard_regime,energy_rerank_unguided,0,36,0.38889,0.61111,0.00000,4.06189,0.00506,0.61111,0.05556
