split,reference,comparison,paired_success_diff,ci95_success_diff,paired_collision_reduction,paired_dynamic_reduction,paired_support_distance_diff,paired_risk_reduction,paired_mode_escape_diff,reference_better_seeds,seeds
off_support_corridor,support_aware_energy_bridge_v5,graph_search_planner,0.00000,0.00000,0.00000,0.00000,-0.00330,0.00011,0.00000,0,8
off_support_corridor,support_aware_energy_bridge_v5,grid_oracle,0.00000,0.00000,0.00000,0.00000,-0.00339,0.00012,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,behavior_clone_nearest,0.00000,0.00000,0.00000,0.00000,0.00769,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,unguided_diffusion_prior,0.93750,0.05119,0.93750,0.00000,0.00312,0.93750,0.93750,8,8
rare_mode_recovery,support_aware_energy_bridge_v5,energy_rerank_unguided,0.79167,0.08731,0.79167,0.00000,0.00281,0.79167,0.79167,8,8
rare_mode_recovery,support_aware_energy_bridge_v5,energy_guided_diffusion,0.78125,0.07521,0.77083,0.78125,-0.03448,0.78145,0.77083,8,8
rare_mode_recovery,support_aware_energy_bridge_v5,strong_guided_diffusion,0.73958,0.10439,0.02083,0.73958,-0.04926,0.74103,0.77083,8,8
rare_mode_recovery,support_aware_energy_bridge_v5,support_projected_guidance,0.67708,0.07198,0.00000,0.67708,-0.04391,0.67807,0.69792,8,8
rare_mode_recovery,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00000,0.00000,-0.00093,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,0.00000,0.00000,-0.00144,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,chomp_like_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00466,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00266,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,graph_search_planner,0.00000,0.00000,0.00000,0.00000,0.00086,0.00000,0.00000,0,8
rare_mode_recovery,support_aware_energy_bridge_v5,grid_oracle,0.00000,0.00000,0.00000,0.00000,0.00087,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,behavior_clone_nearest,0.00000,0.00000,0.00000,0.00000,0.00584,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,unguided_diffusion_prior,0.00000,0.00000,0.00000,0.00000,0.00120,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,energy_rerank_unguided,0.00000,0.00000,0.00000,0.00000,0.00081,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,energy_guided_diffusion,0.00000,0.00000,0.00000,0.00000,-0.00032,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,strong_guided_diffusion,0.00000,0.00000,0.00000,0.00000,0.00080,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,support_projected_guidance,0.00000,0.00000,0.00000,0.00000,0.00085,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00000,0.00000,0.00077,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,0.00000,0.00000,-0.00125,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,chomp_like_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00383,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00000,0.00000,0.00537,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,graph_search_planner,0.00000,0.00000,0.00000,0.00000,0.00069,0.00000,0.00000,0,8
supported_multimodal_shift,support_aware_energy_bridge_v5,grid_oracle,0.00000,0.00000,0.00000,0.00000,0.00072,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,behavior_clone_nearest,0.00000,0.00000,0.00000,0.00000,0.00544,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,unguided_diffusion_prior,0.00000,0.00000,0.00000,0.00000,0.00085,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,energy_rerank_unguided,0.00000,0.00000,0.00000,0.00000,0.00070,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,energy_guided_diffusion,0.00000,0.00000,0.00000,0.00000,-0.00049,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,strong_guided_diffusion,0.00000,0.00000,0.00000,0.00000,0.00070,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,support_projected_guidance,0.00000,0.00000,0.00000,0.00000,0.00073,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00000,0.00000,0.00071,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,0.00000,0.00000,-0.00141,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,chomp_like_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00401,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00000,0.00000,-0.09694,0.00055,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,graph_search_planner,0.00000,0.00000,0.00000,0.00000,0.00059,0.00000,0.00000,0,8
supported_single_mode,support_aware_energy_bridge_v5,grid_oracle,0.00000,0.00000,0.00000,0.00000,-0.29107,0.00157,0.00000,0,8
