split,reference,comparison,paired_success_diff,ci95_success_diff,paired_collision_reduction,paired_dynamic_reduction,paired_support_distance_diff,paired_risk_reduction,paired_mode_escape_diff,reference_better_seeds,seeds
deceptive_energy_basin,support_aware_energy_bridge_v5,behavior_clone_nearest,0.00000,0.00000,0.00000,0.00000,0.00694,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,unguided_diffusion_prior,0.16667,0.05346,0.16667,0.00000,0.00217,0.16667,0.00000,8,8
deceptive_energy_basin,support_aware_energy_bridge_v5,energy_rerank_unguided,0.00000,0.00000,0.00000,0.00000,0.00172,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,energy_guided_diffusion,0.00000,0.00000,0.00000,0.00000,0.00031,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,strong_guided_diffusion,0.00000,0.00000,0.00000,0.00000,0.00047,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,support_projected_guidance,0.00000,0.00000,0.00000,0.00000,0.00116,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00000,0.00000,0.00132,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,0.00000,0.00000,-0.00159,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,chomp_like_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00302,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00000,0.00000,0.00648,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,graph_search_planner,0.00000,0.00000,0.00000,0.00000,0.00162,0.00000,0.00000,0,8
deceptive_energy_basin,support_aware_energy_bridge_v5,grid_oracle,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0,8
off_support_corridor,support_aware_energy_bridge_v5,behavior_clone_nearest,1.00000,0.00000,1.00000,0.00000,0.60969,0.99686,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,unguided_diffusion_prior,1.00000,0.00000,1.00000,0.00000,0.60502,0.99686,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,energy_rerank_unguided,1.00000,0.00000,1.00000,0.00000,0.60485,0.99686,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,energy_guided_diffusion,1.00000,0.00000,1.00000,1.00000,0.55468,0.99703,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,strong_guided_diffusion,0.93750,0.05119,0.04167,0.93750,0.53147,0.93732,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,support_projected_guidance,0.95833,0.03087,0.04167,0.95833,0.53106,0.95687,1.00000,8,8
off_support_corridor,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00000,0.00000,-0.00356,0.00012,0.00000,0,8
off_support_corridor,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,0.00000,0.00000,0.00308,-0.00011,0.00000,0,8
off_support_corridor,support_aware_energy_bridge_v5,chomp_like_optimizer,0.00000,0.00000,0.00000,0.00000,0.00713,-0.00025,0.00000,0,8
off_support_corridor,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00000,0.00000,-0.00398,0.00014,0.00000,0,8
