split,method,metric,mean,ci95,seeds,tasks_per_seed
deceptive_energy_basin,behavior_clone_nearest,success,1.00000,0.00000,8,12
deceptive_energy_basin,behavior_clone_nearest,collision,0.00000,0.00000,8,12
deceptive_energy_basin,behavior_clone_nearest,dynamic_violation,0.00000,0.00000,8,12
deceptive_energy_basin,behavior_clone_nearest,mean_energy,0.44218,0.00064,8,12
deceptive_energy_basin,behavior_clone_nearest,support_distance,0.00000,0.00000,8,12
deceptive_energy_basin,behavior_clone_nearest,risk_proxy,0.00000,0.00000,8,12
deceptive_energy_basin,behavior_clone_nearest,mode_escape,0.00000,0.00000,8,12
deceptive_energy_basin,unguided_diffusion_prior,success,0.83333,0.05346,8,12
deceptive_energy_basin,unguided_diffusion_prior,collision,0.16667,0.05346,8,12
deceptive_energy_basin,unguided_diffusion_prior,dynamic_violation,0.00000,0.00000,8,12
deceptive_energy_basin,unguided_diffusion_prior,mean_energy,1.15772,0.20175,8,12
deceptive_energy_basin,unguided_diffusion_prior,support_distance,0.00477,0.00008,8,12
deceptive_energy_basin,unguided_diffusion_prior,risk_proxy,0.16667,0.05346,8,12
deceptive_energy_basin,unguided_diffusion_prior,mode_escape,0.00000,0.00000,8,12
deceptive_energy_basin,energy_rerank_unguided,success,1.00000,0.00000,8,12
deceptive_energy_basin,energy_rerank_unguided,collision,0.00000,0.00000,8,12
deceptive_energy_basin,energy_rerank_unguided,dynamic_violation,0.00000,0.00000,8,12
deceptive_energy_basin,energy_rerank_unguided,mean_energy,0.43708,0.00044,8,12
deceptive_energy_basin,energy_rerank_unguided,support_distance,0.00522,0.00012,8,12
deceptive_energy_basin,energy_rerank_unguided,risk_proxy,0.00000,0.00000,8,12
deceptive_energy_basin,energy_rerank_unguided,mode_escape,0.00000,0.00000,8,12
deceptive_energy_basin,energy_guided_diffusion,success,1.00000,0.00000,8,12
deceptive_energy_basin,energy_guided_diffusion,collision,0.00000,0.00000,8,12
deceptive_energy_basin,energy_guided_diffusion,dynamic_violation,0.00000,0.00000,8,12
deceptive_energy_basin,energy_guided_diffusion,mean_energy,0.50011,0.00449,8,12
deceptive_energy_basin,energy_guided_diffusion,support_distance,0.00664,0.00015,8,12
deceptive_energy_basin,energy_guided_diffusion,risk_proxy,0.00000,0.00000,8,12
deceptive_energy_basin,energy_guided_diffusion,mode_escape,0.00000,0.00000,8,12
deceptive_energy_basin,strong_guided_diffusion,success,1.00000,0.00000,8,12
