split,method,seed,tasks,success,collision,dynamic_violation,mean_energy,support_distance,risk_proxy,mode_escape
deceptive_energy_basin,behavior_clone_nearest,0,12,1.00000,0.00000,0.00000,0.44263,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,1,12,1.00000,0.00000,0.00000,0.44101,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,2,12,1.00000,0.00000,0.00000,0.44385,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,3,12,1.00000,0.00000,0.00000,0.44247,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,4,12,1.00000,0.00000,0.00000,0.44173,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,5,12,1.00000,0.00000,0.00000,0.44218,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,6,12,1.00000,0.00000,0.00000,0.44108,0.00000,0.00000,0.00000
deceptive_energy_basin,behavior_clone_nearest,7,12,1.00000,0.00000,0.00000,0.44246,0.00000,0.00000,0.00000
deceptive_energy_basin,unguided_diffusion_prior,0,12,0.91667,0.08333,0.00000,0.81017,0.00490,0.08333,0.00000
deceptive_energy_basin,unguided_diffusion_prior,1,12,0.83333,0.16667,0.00000,1.12735,0.00476,0.16667,0.00000
deceptive_energy_basin,unguided_diffusion_prior,2,12,0.83333,0.16667,0.00000,1.16269,0.00481,0.16667,0.00000
deceptive_energy_basin,unguided_diffusion_prior,3,12,0.66667,0.33333,0.00000,1.75867,0.00458,0.33333,0.00000
deceptive_energy_basin,unguided_diffusion_prior,4,12,0.83333,0.16667,0.00000,1.24570,0.00487,0.16667,0.00000
deceptive_energy_basin,unguided_diffusion_prior,5,12,0.83333,0.16667,0.00000,1.19630,0.00487,0.16667,0.00000
deceptive_energy_basin,unguided_diffusion_prior,6,12,0.91667,0.08333,0.00000,0.84193,0.00470,0.08333,0.00000
deceptive_energy_basin,unguided_diffusion_prior,7,12,0.83333,0.16667,0.00000,1.11894,0.00467,0.16667,0.00000
deceptive_energy_basin,energy_rerank_unguided,0,12,1.00000,0.00000,0.00000,0.43732,0.00538,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,1,12,1.00000,0.00000,0.00000,0.43640,0.00511,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,2,12,1.00000,0.00000,0.00000,0.43768,0.00515,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,3,12,1.00000,0.00000,0.00000,0.43749,0.00527,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,4,12,1.00000,0.00000,0.00000,0.43640,0.00554,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,5,12,1.00000,0.00000,0.00000,0.43651,0.00501,0.00000,0.00000
deceptive_energy_basin,energy_rerank_unguided,6,12,1.00000,0.00000,0.00000,0.43681,0.00505,0.00000,0.00000
