split,seed,task_id,method,failure_label,collision,dynamic_violation,support_distance,mode,target_mode,lesson
off_support_corridor,0,0,energy_guided_diffusion,collision_shortcut_from_guidance,1,1,0.05490,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
off_support_corridor,0,0,energy_rerank_unguided,collision_shortcut_from_guidance,1,0,0.00535,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
off_support_corridor,0,0,strong_guided_diffusion,dynamic_violation,0,1,0.08185,lower,upper,aggressive guidance violates trajectory smoothness or velocity constraints
off_support_corridor,0,0,support_projected_guidance,dynamic_violation,0,1,0.08151,lower,upper,aggressive guidance violates trajectory smoothness or velocity constraints
off_support_corridor,0,0,unguided_diffusion_prior,collision_shortcut_from_guidance,1,0,0.00542,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
off_support_corridor,2,2,support_projected_guidance,collision_shortcut_from_guidance,1,1,0.13160,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
off_support_corridor,3,9,strong_guided_diffusion,collision_shortcut_from_guidance,1,1,0.09003,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
rare_mode_recovery,0,0,energy_guided_diffusion,collision_shortcut_from_guidance,1,1,0.04437,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
rare_mode_recovery,0,0,energy_rerank_unguided,collision_shortcut_from_guidance,1,0,0.00467,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
rare_mode_recovery,0,0,strong_guided_diffusion,dynamic_violation,0,1,0.05320,lower,upper,aggressive guidance violates trajectory smoothness or velocity constraints
rare_mode_recovery,0,0,support_projected_guidance,dynamic_violation,0,1,0.05289,lower,upper,aggressive guidance violates trajectory smoothness or velocity constraints
rare_mode_recovery,0,0,unguided_diffusion_prior,collision_shortcut_from_guidance,1,0,0.00449,lower,upper,task-energy gradients stayed inside the blocked demonstration corridor instead of creating a new safe homotopy
