split,seed,task_id,method,success,collision,dynamic_violation,goal_error,min_clearance,max_speed,max_accel,path_length,task_energy,support_distance,risk_proxy,mode,target_mode,mode_frequency_in_prior,mode_escape,target_support_frequency,failure_label,description,stress_level
support_gap_sweep,0,7,support_projected_guidance,1,0,0,0.00242,0.22081,0.10095,0.00810,2.42452,0.44055,0.00399,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,mode_diverse_diffusion,1,0,0,0.00055,0.22025,0.10134,0.01129,2.42717,0.44192,0.00377,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,diffusion_cem_hybrid,1,0,0,0.00000,0.20666,0.09954,0.00584,2.40914,0.43670,0.00717,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,chomp_like_optimizer,1,0,0,0.00000,0.19623,0.09712,0.00574,2.39703,0.43434,0.01140,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,cem_trajectory_optimizer,1,0,0,0.00396,0.22050,0.10253,0.01709,2.42722,0.44573,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,graph_search_planner,1,0,0,0.00087,0.21792,0.10241,0.00760,2.42657,0.44028,0.00404,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21372,0.10087,0.00671,2.41794,0.43853,0.00576,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,energy_rerank_unguided,1,0,0,0.00064,0.25540,0.10252,0.01285,2.42140,0.44182,0.00482,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,energy_guided_diffusion,1,0,0,0.00346,0.24799,0.10229,0.04357,2.43037,0.50396,0.00606,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,strong_guided_diffusion,1,0,0,0.00249,0.25321,0.10272,0.01263,2.41821,0.44108,0.00451,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,support_projected_guidance,1,0,0,0.00280,0.25294,0.10127,0.01146,2.41777,0.43951,0.00444,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,mode_diverse_diffusion,1,0,0,0.00065,0.25513,0.10347,0.01179,2.42085,0.44118,0.00460,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,diffusion_cem_hybrid,1,0,0,0.00000,0.24817,0.09845,0.00575,2.40558,0.43598,0.00665,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,chomp_like_optimizer,1,0,0,0.00000,0.23488,0.09728,0.00611,2.39279,0.43356,0.01011,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,cem_trajectory_optimizer,1,0,0,0.00276,0.24277,0.10033,0.01475,2.41990,0.44349,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,graph_search_planner,1,0,0,0.00036,0.25800,0.10217,0.00737,2.42190,0.43941,0.00497,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,0,support_aware_energy_bridge_v5,1,0,0,0.00000,0.24853,0.09947,0.00724,2.41245,0.43744,0.00556,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,energy_rerank_unguided,1,0,0,0.00058,0.33945,0.10119,0.01114,2.37409,0.43186,0.00545,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,energy_guided_diffusion,1,0,0,0.00462,0.33426,0.10003,0.05764,2.39011,0.50157,0.00708,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,strong_guided_diffusion,1,0,0,0.00323,0.33988,0.09904,0.01004,2.36960,0.43141,0.00578,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,support_projected_guidance,1,0,0,0.00288,0.33863,0.09917,0.00963,2.37054,0.43051,0.00595,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,mode_diverse_diffusion,1,0,0,0.00058,0.33781,0.09896,0.01058,2.37416,0.43151,0.00599,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,diffusion_cem_hybrid,1,0,0,0.00000,0.33480,0.09694,0.00683,2.35916,0.42732,0.00720,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,chomp_like_optimizer,1,0,0,0.00000,0.32445,0.09636,0.00533,2.35003,0.42548,0.00964,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,cem_trajectory_optimizer,1,0,0,0.00796,0.32652,0.10307,0.01648,2.38319,0.44015,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,graph_search_planner,1,0,0,0.00043,0.33761,0.10008,0.00905,2.37197,0.43010,0.00551,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,1,support_aware_energy_bridge_v5,1,0,0,0.00000,0.32769,0.09832,0.00719,2.36466,0.42849,0.00728,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,energy_rerank_unguided,1,0,0,0.00107,0.22179,0.10574,0.00960,2.46184,0.44804,0.00473,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,energy_guided_diffusion,1,0,0,0.00433,0.22243,0.10811,0.05067,2.48225,0.54028,0.00678,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,strong_guided_diffusion,1,0,0,0.00368,0.22211,0.10366,0.01354,2.45822,0.44872,0.00471,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,support_projected_guidance,1,0,0,0.00268,0.22264,0.10357,0.00941,2.45982,0.44725,0.00487,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,mode_diverse_diffusion,1,0,0,0.00106,0.22098,0.10679,0.01118,2.46274,0.44865,0.00479,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,diffusion_cem_hybrid,1,0,0,0.00000,0.21277,0.10253,0.00633,2.44620,0.44362,0.00669,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,chomp_like_optimizer,1,0,0,0.00000,0.20138,0.10094,0.00604,2.43563,0.44160,0.00914,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,cem_trajectory_optimizer,1,0,0,0.00558,0.21025,0.10739,0.01911,2.46680,0.45342,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,graph_search_planner,1,0,0,0.00141,0.21723,0.10646,0.00834,2.46146,0.44696,0.00481,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,2,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21740,0.10498,0.00672,2.45400,0.44520,0.00492,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,energy_rerank_unguided,1,0,0,0.00115,0.27648,0.10061,0.01127,2.39389,0.43555,0.00401,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,energy_guided_diffusion,1,0,0,0.00419,0.27185,0.10151,0.05530,2.40013,0.51488,0.00618,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,strong_guided_diffusion,1,0,0,0.00302,0.27805,0.10035,0.01106,2.39156,0.43637,0.00399,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,support_projected_guidance,1,0,0,0.00240,0.27855,0.10070,0.00983,2.39052,0.43401,0.00414,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,mode_diverse_diffusion,1,0,0,0.00115,0.27784,0.10044,0.01013,2.39363,0.43555,0.00423,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,diffusion_cem_hybrid,1,0,0,0.00000,0.27055,0.09737,0.00563,2.37996,0.43117,0.00754,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,chomp_like_optimizer,1,0,0,0.00000,0.26196,0.09602,0.00606,2.37229,0.42975,0.01038,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,cem_trajectory_optimizer,1,0,0,0.00344,0.27153,0.09997,0.01427,2.38731,0.43719,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,graph_search_planner,1,0,0,0.00137,0.27975,0.10062,0.00784,2.39583,0.43468,0.00461,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,3,support_aware_energy_bridge_v5,1,0,0,0.00000,0.27440,0.09841,0.00579,2.38585,0.43235,0.00529,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,energy_rerank_unguided,1,0,0,0.00098,0.26917,0.10259,0.01126,2.39691,0.43573,0.00482,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,energy_guided_diffusion,1,0,0,0.00392,0.26266,0.10218,0.06269,2.41378,0.53811,0.00691,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,strong_guided_diffusion,1,0,0,0.00337,0.26974,0.10244,0.01086,2.39263,0.43613,0.00489,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,support_projected_guidance,0,0,1,0.00176,0.01332,0.20500,0.16912,2.94255,1.00721,0.09017,1.00000,lower,upper,0.5000,0,0.5000,dynamic_violation,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,mode_diverse_diffusion,1,0,0,0.00097,0.27081,0.10248,0.01050,2.39739,0.43654,0.00487,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,diffusion_cem_hybrid,1,0,0,0.00000,0.25426,0.09986,0.00596,2.37696,0.43068,0.00759,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,1,4,chomp_like_optimizer,1,0,0,0.00000,0.25190,0.09794,0.00545,2.37015,0.42929,0.00971,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
