split,seed,task_id,method,success,collision,dynamic_violation,goal_error,min_clearance,max_speed,max_accel,path_length,task_energy,support_distance,risk_proxy,mode,target_mode,mode_frequency_in_prior,mode_escape,target_support_frequency,failure_label,description,stress_level
support_gap_sweep,0,0,energy_rerank_unguided,1,0,0,0.00174,0.21661,0.10880,0.01121,2.47635,0.45085,0.00551,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,energy_guided_diffusion,1,0,0,0.00356,0.21437,0.10703,0.04446,2.48361,0.48716,0.00624,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,strong_guided_diffusion,1,0,0,0.00370,0.21645,0.10537,0.01210,2.47084,0.45085,0.00536,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,support_projected_guidance,1,0,0,0.00289,0.21611,0.10535,0.00856,2.47095,0.44915,0.00542,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,mode_diverse_diffusion,1,0,0,0.00174,0.21523,0.11023,0.01277,2.47675,0.45144,0.00535,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,diffusion_cem_hybrid,1,0,0,0.00000,0.20502,0.10445,0.00613,2.45873,0.44596,0.00701,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,chomp_like_optimizer,1,0,0,0.00000,0.19532,0.10319,0.00597,2.44374,0.44310,0.01147,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,cem_trajectory_optimizer,1,0,0,0.00351,0.20737,0.10762,0.01463,2.46812,0.45191,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,graph_search_planner,1,0,0,0.00072,0.21421,0.10780,0.00858,2.47334,0.44922,0.00506,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,0,support_aware_energy_bridge_v5,1,0,0,0.00000,0.20475,0.10556,0.00810,2.46335,0.44717,0.00698,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,energy_rerank_unguided,1,0,0,0.00087,0.25989,0.10223,0.01064,2.39955,0.43687,0.00618,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,energy_guided_diffusion,1,0,0,0.00429,0.25665,0.10230,0.04361,2.40122,0.48241,0.00719,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,strong_guided_diffusion,1,0,0,0.00309,0.26039,0.10067,0.01150,2.39567,0.43741,0.00618,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,support_projected_guidance,1,0,0,0.00334,0.26070,0.10116,0.00819,2.39554,0.43520,0.00600,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,mode_diverse_diffusion,1,0,0,0.00087,0.26041,0.10156,0.00984,2.39974,0.43621,0.00611,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,diffusion_cem_hybrid,1,0,0,0.00000,0.25241,0.09858,0.00565,2.38491,0.43210,0.00694,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,chomp_like_optimizer,1,0,0,0.00000,0.24450,0.09706,0.00551,2.37281,0.42981,0.00970,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,cem_trajectory_optimizer,1,0,0,0.00288,0.24534,0.10156,0.01250,2.40054,0.43810,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,graph_search_planner,1,0,0,0.00119,0.26188,0.10141,0.00755,2.39856,0.43499,0.00598,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,1,support_aware_energy_bridge_v5,1,0,0,0.00000,0.25245,0.09910,0.00682,2.39054,0.43339,0.00656,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,energy_rerank_unguided,1,0,0,0.00129,0.22236,0.10866,0.01006,2.46522,0.44922,0.00568,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,energy_guided_diffusion,1,0,0,0.00445,0.22056,0.10547,0.05196,2.47410,0.52574,0.00742,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,strong_guided_diffusion,1,0,0,0.00368,0.22271,0.10585,0.01179,2.46043,0.44857,0.00585,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,support_projected_guidance,1,0,0,0.00296,0.22409,0.10436,0.00872,2.46198,0.44746,0.00572,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,mode_diverse_diffusion,1,0,0,0.00129,0.22405,0.10818,0.00980,2.46645,0.44911,0.00574,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,diffusion_cem_hybrid,1,0,0,0.00000,0.21096,0.10407,0.00619,2.44805,0.44402,0.00693,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,chomp_like_optimizer,1,0,0,0.00000,0.20646,0.10183,0.00601,2.43935,0.44227,0.00951,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,cem_trajectory_optimizer,1,0,0,0.00107,0.20085,0.10879,0.01467,2.46081,0.45083,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,graph_search_planner,1,0,0,0.00037,0.22132,0.10759,0.00790,2.46653,0.44785,0.00519,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,2,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21729,0.10564,0.00688,2.45631,0.44568,0.00581,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,energy_rerank_unguided,1,0,0,0.00050,0.22479,0.10721,0.01325,2.46074,0.44827,0.00562,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,energy_guided_diffusion,1,0,0,0.00350,0.21565,0.10431,0.05781,2.47394,0.52397,0.00714,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,strong_guided_diffusion,1,0,0,0.00340,0.22340,0.10388,0.00991,2.45572,0.44663,0.00568,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,support_projected_guidance,1,0,0,0.00299,0.22492,0.10501,0.01133,2.45704,0.44687,0.00555,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,mode_diverse_diffusion,1,0,0,0.00050,0.22468,0.10551,0.01200,2.46001,0.44797,0.00547,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,diffusion_cem_hybrid,1,0,0,0.00000,0.21468,0.10310,0.00602,2.44462,0.44335,0.00704,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,chomp_like_optimizer,1,0,0,0.00000,0.21063,0.10103,0.00634,2.43798,0.44199,0.00943,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,cem_trajectory_optimizer,1,0,0,0.00063,0.20966,0.10937,0.02333,2.46120,0.45289,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,graph_search_planner,1,0,0,0.00018,0.22297,0.10647,0.00944,2.45980,0.44668,0.00547,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,3,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21889,0.10436,0.00629,2.45142,0.44472,0.00565,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,energy_rerank_unguided,1,0,0,0.00101,0.21738,0.10755,0.01056,2.46457,0.44886,0.00434,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,energy_guided_diffusion,1,0,0,0.00220,0.21739,0.10757,0.04387,2.47331,0.53254,0.00635,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,strong_guided_diffusion,1,0,0,0.00315,0.21726,0.10487,0.01050,2.46100,0.44839,0.00431,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,support_projected_guidance,1,0,0,0.00251,0.21801,0.10573,0.00933,2.46151,0.44755,0.00422,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,mode_diverse_diffusion,1,0,0,0.00101,0.21519,0.10819,0.01280,2.46427,0.44909,0.00432,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,diffusion_cem_hybrid,1,0,0,0.00000,0.20297,0.10432,0.00661,2.44507,0.44352,0.00844,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,chomp_like_optimizer,1,0,0,0.00000,0.19731,0.10190,0.00638,2.43576,0.44165,0.01057,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,cem_trajectory_optimizer,1,0,0,0.00512,0.20714,0.11344,0.01982,2.46616,0.45527,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,graph_search_planner,1,0,0,0.00055,0.22059,0.10834,0.00853,2.46467,0.44753,0.00475,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,4,support_aware_energy_bridge_v5,1,0,0,0.00000,0.21552,0.10670,0.00813,2.45466,0.44550,0.00745,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,energy_rerank_unguided,1,0,0,0.00087,0.23815,0.10984,0.01311,2.46861,0.44947,0.00372,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,energy_guided_diffusion,1,0,0,0.00409,0.22533,0.10849,0.05636,2.49312,0.54666,0.00621,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,strong_guided_diffusion,1,0,0,0.00392,0.23665,0.10496,0.01239,2.46384,0.44999,0.00410,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,support_projected_guidance,1,0,0,0.00310,0.23800,0.10560,0.00917,2.46491,0.44830,0.00414,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,mode_diverse_diffusion,1,0,0,0.00087,0.23710,0.10830,0.01235,2.46783,0.44967,0.00421,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,diffusion_cem_hybrid,1,0,0,0.00000,0.22864,0.10393,0.00605,2.45022,0.44438,0.00766,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,chomp_like_optimizer,1,0,0,0.00000,0.22381,0.10299,0.00604,2.44114,0.44263,0.00881,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,cem_trajectory_optimizer,1,0,0,0.00349,0.24445,0.10765,0.01767,2.47385,0.45469,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,graph_search_planner,1,0,0,0.00050,0.23871,0.10790,0.00760,2.46514,0.44755,0.00439,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,5,support_aware_energy_bridge_v5,1,0,0,0.00000,0.22853,0.10677,0.00774,2.45594,0.44582,0.00574,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,energy_rerank_unguided,1,0,0,0.00022,0.25088,0.10803,0.01072,2.44827,0.44548,0.00463,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,energy_guided_diffusion,1,0,0,0.00225,0.24166,0.10705,0.05396,2.47893,0.53451,0.00654,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,strong_guided_diffusion,1,0,0,0.00356,0.24769,0.10426,0.01491,2.44482,0.44621,0.00420,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,support_projected_guidance,1,0,0,0.00293,0.24876,0.10499,0.01024,2.44420,0.44473,0.00453,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,mode_diverse_diffusion,1,0,0,0.00022,0.24910,0.10793,0.01007,2.44750,0.44531,0.00454,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,diffusion_cem_hybrid,1,0,0,0.00000,0.23977,0.10360,0.00616,2.43097,0.44077,0.00752,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,chomp_like_optimizer,1,0,0,0.00000,0.23699,0.10216,0.00618,2.42063,0.43875,0.00968,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,cem_trajectory_optimizer,1,0,0,0.00474,0.24200,0.10452,0.01791,2.44527,0.44921,0.00000,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,graph_search_planner,1,0,0,0.00065,0.25256,0.10726,0.00749,2.44791,0.44432,0.00540,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,6,support_aware_energy_bridge_v5,1,0,0,0.00000,0.24676,0.10490,0.00660,2.43954,0.44245,0.00589,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,energy_rerank_unguided,1,0,0,0.00054,0.22140,0.10246,0.00918,2.42746,0.44143,0.00392,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,energy_guided_diffusion,1,0,0,0.00423,0.21874,0.10630,0.04334,2.43630,0.50822,0.00578,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
support_gap_sweep,0,7,strong_guided_diffusion,1,0,0,0.00315,0.22126,0.10262,0.00985,2.42340,0.44067,0.00421,0.00000,upper,upper,0.5000,0,0.5000,success,support frequency sweep upper=0.50,0.00
