split,ablation,success,ci95,collision,support_distance,mode_escape,rows
rare_mode_recovery,support_aware_v5_full,1.00000,0.00000,0.00000,0.00767,1.00000,80
off_support_corridor,support_aware_v5_full,1.00000,0.00000,0.00000,0.60934,1.00000,80
rare_mode_recovery,no_bridge_proposals,0.26250,0.09026,0.01250,0.05567,0.25000,80
off_support_corridor,no_bridge_proposals,0.02500,0.03208,0.07500,0.07867,0.00000,80
rare_mode_recovery,no_support_awareness,1.00000,0.00000,0.00000,0.00715,1.00000,80
off_support_corridor,no_support_awareness,1.00000,0.00000,0.00000,0.61270,1.00000,80
rare_mode_recovery,no_safety_projection,0.22500,0.14700,0.77500,0.04421,0.22500,80
off_support_corridor,no_safety_projection,0.00000,0.00000,1.00000,0.05804,0.00000,80
rare_mode_recovery,no_mode_diversity,0.21250,0.09398,0.01250,0.06003,0.18750,80
off_support_corridor,no_mode_diversity,0.05000,0.07408,0.03750,0.07912,0.00000,80
rare_mode_recovery,no_energy_gradient,1.00000,0.00000,0.00000,0.00687,1.00000,80
off_support_corridor,no_energy_gradient,1.00000,0.00000,0.00000,0.61290,1.00000,80
rare_mode_recovery,no_prior_score,1.00000,0.00000,0.00000,0.01075,1.00000,80
off_support_corridor,no_prior_score,1.00000,0.00000,0.00000,0.60496,1.00000,80
rare_mode_recovery,rerank_only,0.26250,0.09756,0.73750,0.00480,0.26250,80
off_support_corridor,rerank_only,0.00000,0.00000,1.00000,0.00477,0.00000,80
rare_mode_recovery,sample_count_only,0.40000,0.09073,0.02500,0.04766,0.37500,80
off_support_corridor,sample_count_only,0.01250,0.02450,0.05000,0.08101,0.00000,80
rare_mode_recovery,optimizer_handoff,1.00000,0.00000,0.00000,0.00926,1.00000,80
off_support_corridor,optimizer_handoff,1.00000,0.00000,0.00000,0.60666,1.00000,80
