risk_budget,reference,comparison,paired_fixed_risk_success_diff,ci95_fixed_risk_success_diff,paired_risk_reduction,reference_better_seeds,seeds
0.00,support_aware_energy_bridge_v5,energy_rerank_unguided,0.00000,0.00000,0.99685,0,8
0.00,support_aware_energy_bridge_v5,energy_guided_diffusion,0.00000,0.00000,0.99685,0,8
0.00,support_aware_energy_bridge_v5,strong_guided_diffusion,0.00000,0.00000,0.99685,0,8
0.00,support_aware_energy_bridge_v5,support_projected_guidance,0.00000,0.00000,0.95229,0,8
0.00,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00012,0,8
0.00,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,-0.00011,0,8
0.00,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00014,0,8
0.02,support_aware_energy_bridge_v5,energy_rerank_unguided,1.00000,0.00000,0.99686,8,8
0.02,support_aware_energy_bridge_v5,energy_guided_diffusion,1.00000,0.00000,0.99686,8,8
0.02,support_aware_energy_bridge_v5,strong_guided_diffusion,1.00000,0.00000,0.99686,8,8
0.02,support_aware_energy_bridge_v5,support_projected_guidance,1.00000,0.00000,0.96714,8,8
0.02,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00012,0,8
0.02,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,-0.00010,0,8
0.02,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00015,0,8
0.05,support_aware_energy_bridge_v5,energy_rerank_unguided,1.00000,0.00000,0.99685,8,8
0.05,support_aware_energy_bridge_v5,energy_guided_diffusion,1.00000,0.00000,0.99687,8,8
0.05,support_aware_energy_bridge_v5,strong_guided_diffusion,0.92188,0.06445,0.90721,8,8
0.05,support_aware_energy_bridge_v5,support_projected_guidance,0.96875,0.04010,0.96684,8,8
0.05,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00012,0,8
0.05,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,-0.00010,0,8
0.05,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00012,0,8
0.10,support_aware_energy_bridge_v5,energy_rerank_unguided,1.00000,0.00000,0.99685,8,8
0.10,support_aware_energy_bridge_v5,energy_guided_diffusion,1.00000,0.00000,0.99905,8,8
0.10,support_aware_energy_bridge_v5,strong_guided_diffusion,0.98438,0.03062,0.98184,8,8
0.10,support_aware_energy_bridge_v5,support_projected_guidance,0.96875,0.04010,0.96768,8,8
0.10,support_aware_energy_bridge_v5,mode_diverse_diffusion,0.00000,0.00000,0.00009,0,8
0.10,support_aware_energy_bridge_v5,diffusion_cem_hybrid,0.00000,0.00000,-0.00011,0,8
0.10,support_aware_energy_bridge_v5,cem_trajectory_optimizer,0.00000,0.00000,0.00012,0,8
