split,seed,task_id,method,success,collision,dynamic_violation,goal_error,min_clearance,max_speed,max_accel,path_length,task_energy,support_distance,risk_proxy,mode,target_mode,mode_frequency_in_prior,mode_escape,target_support_frequency,failure_label,description,ablation
rare_mode_recovery,0,0,support_aware_v5_full,1,0,0,0.00000,0.16266,0.10528,0.00750,2.45714,0.44610,0.01337,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,support_aware_v5_full
rare_mode_recovery,0,0,no_bridge_proposals,0,0,1,0.00258,0.01800,0.18737,0.11177,2.61407,0.68010,0.05269,1.00000,lower,upper,0.9583,0,0.0417,dynamic_violation,rare safe upper mode with common lower mode blocked,no_bridge_proposals
rare_mode_recovery,0,0,no_support_awareness,1,0,0,0.00152,0.17149,0.10608,0.00993,2.46994,0.44907,0.00860,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_support_awareness
rare_mode_recovery,0,0,no_safety_projection,0,1,1,0.00316,-0.02226,0.17834,0.10553,2.56959,0.77381,0.04648,1.00000,lower,upper,0.9583,0,0.0417,collision_shortcut_from_guidance,rare safe upper mode with common lower mode blocked,no_safety_projection
rare_mode_recovery,0,0,no_mode_diversity,0,0,1,0.00239,0.01800,0.19952,0.12133,2.61648,0.70394,0.05287,1.00000,lower,upper,0.9583,0,0.0417,dynamic_violation,rare safe upper mode with common lower mode blocked,no_mode_diversity
rare_mode_recovery,0,0,no_energy_gradient,1,0,0,0.00049,0.17823,0.10714,0.00754,2.47342,0.44913,0.00830,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_energy_gradient
rare_mode_recovery,0,0,no_prior_score,1,0,0,0.00000,0.15577,0.10457,0.00646,2.44544,0.44361,0.01376,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_prior_score
rare_mode_recovery,0,0,rerank_only,0,1,0,0.00084,-0.19959,0.09981,0.01087,2.37502,4.21831,0.00493,1.00000,lower,upper,0.9583,0,0.0417,collision_or_blocked_prior_mode,rare safe upper mode with common lower mode blocked,rerank_only
rare_mode_recovery,0,0,sample_count_only,0,0,1,0.00081,0.01800,0.20348,0.11841,2.62893,0.72165,0.05275,1.00000,lower,upper,0.9583,0,0.0417,dynamic_violation,rare safe upper mode with common lower mode blocked,sample_count_only
rare_mode_recovery,0,0,optimizer_handoff,1,0,0,0.00000,0.15821,0.10272,0.00669,2.44903,0.44421,0.01319,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,optimizer_handoff
rare_mode_recovery,0,1,support_aware_v5_full,1,0,0,0.00000,0.24394,0.09962,0.00660,2.39505,0.43411,0.00568,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,support_aware_v5_full
rare_mode_recovery,0,1,no_bridge_proposals,0,0,1,0.00207,0.01296,0.20500,0.12853,2.88654,0.95821,0.08390,1.00000,lower,upper,0.9583,0,0.0417,dynamic_violation,rare safe upper mode with common lower mode blocked,no_bridge_proposals
rare_mode_recovery,0,1,no_support_awareness,1,0,0,0.00075,0.25231,0.10130,0.00882,2.40344,0.43633,0.00747,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_support_awareness
rare_mode_recovery,0,1,no_safety_projection,0,1,1,0.00345,-0.07371,0.29599,0.27834,2.69260,2.13371,0.06000,1.00000,lower,upper,0.9583,0,0.0417,collision_shortcut_from_guidance,rare safe upper mode with common lower mode blocked,no_safety_projection
rare_mode_recovery,0,1,no_mode_diversity,1,0,0,0.00308,0.24500,0.10316,0.01118,2.40377,0.43753,0.00552,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_mode_diversity
rare_mode_recovery,0,1,no_energy_gradient,1,0,0,0.00044,0.24800,0.10148,0.00823,2.40280,0.43592,0.00574,0.00000,upper,upper,0.0417,1,0.0417,success,rare safe upper mode with common lower mode blocked,no_energy_gradient
