split,method,seed,tasks,success,collision,dynamic_violation,mean_energy,support_distance,risk_proxy,mode_escape
off_support_corridor,support_aware_v5_full,0,10,1.00000,0.00000,0.00000,0.43848,0.60976,0.00314,1.00000
off_support_corridor,support_aware_v5_full,1,10,1.00000,0.00000,0.00000,0.43951,0.60815,0.00309,1.00000
off_support_corridor,support_aware_v5_full,2,10,1.00000,0.00000,0.00000,0.43628,0.60900,0.00312,1.00000
off_support_corridor,support_aware_v5_full,3,10,1.00000,0.00000,0.00000,0.43602,0.60843,0.00309,1.00000
off_support_corridor,support_aware_v5_full,4,10,1.00000,0.00000,0.00000,0.43425,0.61000,0.00315,1.00000
off_support_corridor,support_aware_v5_full,5,10,1.00000,0.00000,0.00000,0.43656,0.61007,0.00315,1.00000
off_support_corridor,support_aware_v5_full,6,10,1.00000,0.00000,0.00000,0.43552,0.60988,0.00315,1.00000
off_support_corridor,support_aware_v5_full,7,10,1.00000,0.00000,0.00000,0.43622,0.60942,0.00313,1.00000
off_support_corridor,no_bridge_proposals,0,10,0.00000,0.00000,1.00000,0.85739,0.07436,1.00000,0.00000
off_support_corridor,no_bridge_proposals,1,10,0.00000,0.00000,1.00000,0.84579,0.07040,1.00000,0.00000
off_support_corridor,no_bridge_proposals,2,10,0.00000,0.10000,1.00000,0.90234,0.07920,1.00000,0.00000
off_support_corridor,no_bridge_proposals,3,10,0.00000,0.10000,1.00000,0.91445,0.07862,1.00000,0.00000
off_support_corridor,no_bridge_proposals,4,10,0.10000,0.30000,0.90000,0.95143,0.08614,0.90396,0.00000
off_support_corridor,no_bridge_proposals,5,10,0.00000,0.00000,1.00000,0.91041,0.08428,1.00000,0.00000
off_support_corridor,no_bridge_proposals,6,10,0.00000,0.10000,1.00000,0.94490,0.07571,1.00000,0.00000
off_support_corridor,no_bridge_proposals,7,10,0.10000,0.00000,0.90000,0.88546,0.08067,0.90396,0.00000
off_support_corridor,no_support_awareness,0,10,1.00000,0.00000,0.00000,0.44118,0.61376,0.00328,1.00000
off_support_corridor,no_support_awareness,1,10,1.00000,0.00000,0.00000,0.44202,0.61104,0.00319,1.00000
off_support_corridor,no_support_awareness,2,10,1.00000,0.00000,0.00000,0.43903,0.61220,0.00323,1.00000
off_support_corridor,no_support_awareness,3,10,1.00000,0.00000,0.00000,0.43904,0.61272,0.00325,1.00000
