split,method,metric,mean,ci95,seeds,tasks_per_seed
aggregate_hard_regime,behavior_clone_nearest,success,0.66667,0.00000,8,36
aggregate_hard_regime,behavior_clone_nearest,collision,0.33333,0.00000,8,36
aggregate_hard_regime,behavior_clone_nearest,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,behavior_clone_nearest,mean_energy,2.43388,0.06106,8,36
aggregate_hard_regime,behavior_clone_nearest,support_distance,0.00000,0.00000,8,36
aggregate_hard_regime,behavior_clone_nearest,risk_proxy,0.33333,0.00000,8,36
aggregate_hard_regime,behavior_clone_nearest,mode_escape,0.33333,0.00000,8,36
aggregate_hard_regime,unguided_diffusion_prior,success,0.29861,0.02673,8,36
aggregate_hard_regime,unguided_diffusion_prior,collision,0.70139,0.02673,8,36
aggregate_hard_regime,unguided_diffusion_prior,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,unguided_diffusion_prior,mean_energy,4.62621,0.15569,8,36
aggregate_hard_regime,unguided_diffusion_prior,support_distance,0.00467,0.00005,8,36
aggregate_hard_regime,unguided_diffusion_prior,risk_proxy,0.70139,0.02673,8,36
aggregate_hard_regime,unguided_diffusion_prior,mode_escape,0.02083,0.01706,8,36
aggregate_hard_regime,energy_rerank_unguided,success,0.40278,0.02910,8,36
aggregate_hard_regime,energy_rerank_unguided,collision,0.59722,0.02910,8,36
aggregate_hard_regime,energy_rerank_unguided,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,energy_rerank_unguided,mean_energy,4.06939,0.17445,8,36
aggregate_hard_regime,energy_rerank_unguided,support_distance,0.00498,0.00005,8,36
aggregate_hard_regime,energy_rerank_unguided,risk_proxy,0.59722,0.02910,8,36
aggregate_hard_regime,energy_rerank_unguided,mode_escape,0.06945,0.02910,8,36
aggregate_hard_regime,energy_guided_diffusion,success,0.40625,0.02507,8,36
aggregate_hard_regime,energy_guided_diffusion,collision,0.59028,0.02864,8,36
aggregate_hard_regime,energy_guided_diffusion,dynamic_violation,0.59375,0.02507,8,36
aggregate_hard_regime,energy_guided_diffusion,mean_energy,1.32489,0.05471,8,36
aggregate_hard_regime,energy_guided_diffusion,support_distance,0.03460,0.00126,8,36
aggregate_hard_regime,energy_guided_diffusion,risk_proxy,0.59387,0.02506,8,36
aggregate_hard_regime,energy_guided_diffusion,mode_escape,0.07639,0.02864,8,36
aggregate_hard_regime,strong_guided_diffusion,success,0.44097,0.04297,8,36
aggregate_hard_regime,strong_guided_diffusion,collision,0.02083,0.02242,8,36
aggregate_hard_regime,strong_guided_diffusion,dynamic_violation,0.55903,0.04297,8,36
aggregate_hard_regime,strong_guided_diffusion,mean_energy,0.69767,0.02002,8,36
aggregate_hard_regime,strong_guided_diffusion,support_distance,0.04722,0.00229,8,36
aggregate_hard_regime,strong_guided_diffusion,risk_proxy,0.56050,0.04253,8,36
aggregate_hard_regime,strong_guided_diffusion,mode_escape,0.07639,0.03373,8,36
aggregate_hard_regime,support_projected_guidance,success,0.45486,0.03076,8,36
aggregate_hard_regime,support_projected_guidance,collision,0.01389,0.01455,8,36
aggregate_hard_regime,support_projected_guidance,dynamic_violation,0.54514,0.03076,8,36
aggregate_hard_regime,support_projected_guidance,mean_energy,0.69000,0.01712,8,36
aggregate_hard_regime,support_projected_guidance,support_distance,0.04533,0.00302,8,36
aggregate_hard_regime,support_projected_guidance,risk_proxy,0.54603,0.03052,8,36
aggregate_hard_regime,support_projected_guidance,mode_escape,0.10070,0.03076,8,36
aggregate_hard_regime,mode_diverse_diffusion,success,1.00000,0.00000,8,36
aggregate_hard_regime,mode_diverse_diffusion,collision,0.00000,0.00000,8,36
aggregate_hard_regime,mode_diverse_diffusion,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,mode_diverse_diffusion,mean_energy,0.44158,0.00034,8,36
aggregate_hard_regime,mode_diverse_diffusion,support_distance,0.20916,0.00023,8,36
aggregate_hard_regime,mode_diverse_diffusion,risk_proxy,0.00109,0.00000,8,36
aggregate_hard_regime,mode_diverse_diffusion,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,diffusion_cem_hybrid,success,1.00000,0.00000,8,36
aggregate_hard_regime,diffusion_cem_hybrid,collision,0.00000,0.00000,8,36
aggregate_hard_regime,diffusion_cem_hybrid,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,diffusion_cem_hybrid,mean_energy,0.43404,0.00045,8,36
aggregate_hard_regime,diffusion_cem_hybrid,support_distance,0.20809,0.00034,8,36
aggregate_hard_regime,diffusion_cem_hybrid,risk_proxy,0.00101,0.00001,8,36
aggregate_hard_regime,diffusion_cem_hybrid,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,chomp_like_optimizer,success,1.00000,0.00000,8,36
aggregate_hard_regime,chomp_like_optimizer,collision,0.00000,0.00000,8,36
aggregate_hard_regime,chomp_like_optimizer,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,chomp_like_optimizer,mean_energy,0.43242,0.00040,8,36
aggregate_hard_regime,chomp_like_optimizer,support_distance,0.20829,0.00014,8,36
aggregate_hard_regime,chomp_like_optimizer,risk_proxy,0.00096,0.00000,8,36
aggregate_hard_regime,chomp_like_optimizer,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,cem_trajectory_optimizer,success,1.00000,0.00000,8,36
aggregate_hard_regime,cem_trajectory_optimizer,collision,0.00000,0.00000,8,36
aggregate_hard_regime,cem_trajectory_optimizer,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,cem_trajectory_optimizer,mean_energy,0.44911,0.00075,8,36
aggregate_hard_regime,cem_trajectory_optimizer,support_distance,0.20816,0.00054,8,36
aggregate_hard_regime,cem_trajectory_optimizer,risk_proxy,0.00109,0.00002,8,36
aggregate_hard_regime,cem_trajectory_optimizer,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,graph_search_planner,success,1.00000,0.00000,8,36
aggregate_hard_regime,graph_search_planner,collision,0.00000,0.00000,8,36
aggregate_hard_regime,graph_search_planner,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,graph_search_planner,mean_energy,0.43752,0.00041,8,36
aggregate_hard_regime,graph_search_planner,support_distance,0.20838,0.00022,8,36
aggregate_hard_regime,graph_search_planner,risk_proxy,0.00109,0.00001,8,36
aggregate_hard_regime,graph_search_planner,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,success,1.00000,0.00000,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,collision,0.00000,0.00000,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,mean_energy,0.43547,0.00043,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,support_distance,0.20811,0.00030,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,risk_proxy,0.00105,0.00000,8,36
aggregate_hard_regime,support_aware_energy_bridge_v5,mode_escape,0.66667,0.00000,8,36
aggregate_hard_regime,grid_oracle,success,1.00000,0.00000,8,36
aggregate_hard_regime,grid_oracle,collision,0.00000,0.00000,8,36
aggregate_hard_regime,grid_oracle,dynamic_violation,0.00000,0.00000,8,36
aggregate_hard_regime,grid_oracle,mean_energy,0.43755,0.00040,8,36
aggregate_hard_regime,grid_oracle,support_distance,0.20841,0.00018,8,36
aggregate_hard_regime,grid_oracle,risk_proxy,0.00109,0.00000,8,36
aggregate_hard_regime,grid_oracle,mode_escape,0.66667,0.00000,8,36
